parents,clones,t1,t2,t3
765,765,5671,20502,32870
766,766,5662,33460,72955
767,767,5662,28661,56732
768,768,5662,27451,53657
769,769,5662,24728,58401
770,770,5662,19292,38500
771,771,5662,18467,39849
772,772,5652,14200,31087
773,773,5652,15901,30587
774,774,5652,25124,66296
775,775,5652,16892,15081
776,776,5642,24863,61589
777,777,5642,18853,30634
778,778,5633,28150,52346
779,779,5633,23789,40830
780,780,5614,24508,43782
781,781,5604,19500,35416
782,782,5604,21128,43858
783,783,5595,14398,31983
784,784,5595,22463,24589
785,785,5595,20919,44292
786,786,5576,23006,56100
787,787,5576,17821,27786
788,788,5566,20053,25607
789,789,5556,22474,55629
790,790,5547,23194,38840
791,791,5547,22453,54487
792,792,5537,18895,25749
793,793,5528,27346,51252
794,794,5528,18718,40840
795,795,5528,24029,54751
796,796,5518,23016,44688
797,797,5509,20815,37454
798,798,5499,20272,28012
799,799,5499,20940,24938
800,800,5489,29767,59420
801,801,5480,10872,12639
802,802,5480,19699,23428
803,803,5461,11341,10450
804,804,5461,15765,27220
805,805,5461,25124,57062
806,806,5461,23496,43414
807,807,5451,21305,38793
808,808,5442,23924,56487
809,809,5442,21493,46272
810,810,5442,23507,42971
811,811,5432,20544,41754
812,812,5423,16443,40623
813,813,5423,25228,59118
814,814,5413,21785,42962
815,815,5413,15306,29918
816,816,5403,29548,66635
817,817,5394,27482,52167
818,818,5394,12499,23768
819,819,5384,11696,16015
820,820,5375,19667,30427
821,821,5375,22787,47876
822,822,5365,16068,46338
823,823,5346,23392,46546
824,824,5346,20700,37755
825,825,5336,15838,23212
826,826,5336,28035,54761
827,827,5336,12332,23410
828,828,5327,14388,22542
829,829,5317,11414,18618
830,830,5298,17643,44744
831,831,5289,22850,50017
832,832,5289,23642,51271
833,833,5279,26021,63891
834,834,5270,24362,76888
835,835,5270,22714,38029
836,836,5270,17434,50092
837,837,5250,27858,61391
838,838,5250,15035,29220
839,839,5250,41473,44650
840,840,5231,13042,15657
841,841,5231,17142,34907
842,842,5231,13971,34699
843,843,5222,12948,29267
844,844,5212,21368,35954
845,845,5203,13908,25192
846,846,5203,23778,34916
847,847,5193,20763,28691
848,848,5174,21848,55374
849,849,5174,25312,48602
850,850,5164,25980,59458
851,851,5164,18207,34747
852,852,5145,27691,71342
853,853,5145,20825,47706
854,854,5136,12802,34275
855,855,5136,19281,38359
856,856,5117,17654,35020
857,857,5097,23601,46848
858,858,5097,17914,26843
859,859,5078,14033,28616
860,860,5069,21858,48677
861,861,5069,21055,47074
862,862,5059,22004,61853
863,863,5040,17101,36218
864,864,5040,23256,33549
865,865,5030,19229,33907
866,866,5021,17748,51243
867,867,5021,19866,36076
868,868,5011,19386,37916
869,869,5002,17288,34869
870,870,5002,27649,44603
871,871,4992,18812,47112
872,872,4992,22610,36416
873,873,4983,21149,30710
874,874,4983,14972,27182
875,875,4973,15431,28446
876,876,4973,22881,59392
877,877,4963,15880,22995
878,878,4954,22724,48159
879,879,4954,11821,29776
880,880,4935,14158,23910
881,881,4925,19062,58930
882,882,4916,20408,44301
883,883,4916,24467,45018
884,884,4916,19646,31842
885,885,4916,13647,19731
886,886,4916,21869,39076
887,887,4897,24143,56723
888,888,4897,22505,49045
889,889,4887,15556,24645
890,890,4887,23632,53374
891,891,4887,20189,31757
892,892,4887,21284,45810
893,893,4877,15640,26107
894,894,4868,18269,34388
895,895,4858,23402,46187
896,896,4858,14315,27673
897,897,4858,22933,47876
898,898,4858,16631,32766
899,899,4849,16235,28512
900,900,4849,20690,46923
901,901,4839,19020,51799
902,902,4839,14513,25805
903,903,4839,20293,43999
904,904,4820,12572,16600
905,905,4820,19897,33483
906,906,4820,17508,42528
907,907,4810,26376,43999
908,908,4791,18207,30606
909,909,4791,23079,30615
910,910,4791,14951,32360
911,911,4791,13595,23532
912,912,4782,22401,56326
913,913,4772,12531,45480
914,914,4772,16203,27182
915,915,4772,16819,36350
916,916,4772,20502,42679
917,917,4763,10141,18788
918,918,4763,15713,21712
919,919,4763,13804,27946
920,920,4753,18123,36727
921,921,4744,26543,54563
922,922,4734,12948,24579
923,923,4734,22599,49819
924,924,4724,12124,22551
925,925,4715,16840,41170
926,926,4705,15400,23608
927,927,4705,15108,22985
928,928,4705,23319,52243
929,929,4696,14158,18326
930,930,4686,15849,26277
931,931,4686,12844,34416
932,932,4686,17497,30615
933,933,4677,14899,24560
934,934,4677,12364,20646
935,935,4677,17038,21702
936,936,4677,18707,34747
937,937,4677,10601,19495
938,938,4677,17748,28361
939,939,4667,20867,45659
940,940,4667,25427,53950
941,941,4667,23382,42745
942,942,4648,18269,49413
943,943,4648,13637,24919
944,944,4648,16412,35322
945,945,4638,19198,25164
946,946,4629,13449,27880
947,947,4629,11957,16515
948,948,4629,17080,29493
949,949,4619,15504,28418
950,950,4619,6677,17232
951,951,4619,20105,33756
952,952,4610,15024,23976
953,953,4610,19834,40792
954,954,4610,21775,27758
955,955,4600,12812,27626
956,956,4600,16642,31257
957,957,4600,20481,42896
958,958,4600,16662,34360
959,959,4591,18248,42217
960,960,4591,20794,43282
961,961,4581,11946,18618
962,962,4562,12927,28701
963,963,4562,18561,48611
964,964,4562,25072,52007
965,965,4552,17748,41207
966,966,4552,16443,34888
967,967,4552,14743,23825
968,968,4552,14450,26975
969,969,4533,25051,43471
970,970,4524,14649,25070
971,971,4524,26073,57062
972,972,4524,12719,24240
973,973,4524,11237,32436
974,974,4524,14169,27899
975,975,4514,6312,12818
976,976,4504,13793,18816
977,977,4495,18280,31927
978,978,4495,17737,44329
979,979,4476,21222,45395
980,980,4466,12865,29427
981,981,4466,21316,36614
982,982,4466,12291,25645
983,983,4457,12885,26984
984,984,4447,22067,56789
985,985,4437,13188,18071
986,986,4428,21441,47800
987,987,4428,20784,55770
988,988,4428,14513,21467
989,989,4418,19719,44603
990,990,4418,16673,35209
991,991,4418,14085,27550
992,992,4418,13501,30936
993,993,4418,15212,25447
994,994,4409,14774,43301
995,995,4409,23476,46829
996,996,4399,13637,18864
997,997,4399,10527,13789
998,998,4399,20878,35878
999,999,4399,17080,28446
1000,1000,4390,15567,35077
1001,1001,4390,14899,25607
1002,1002,4371,20679,40726
1003,1003,4371,14503,16939
1004,1004,4361,15400,30823
1005,1005,4351,11560,15770
1006,1006,4351,16652,38991
1007,1007,4332,15984,31106
1008,1008,4332,23705,50799
1009,1009,4304,19845,49187
1010,1010,4294,20784,44226
1011,1011,4294,18645,40906
1012,1012,4284,10204,21646
1013,1013,4275,15619,24277
1014,1014,4275,11748,31634
1015,1015,4275,12061,29031
1016,1016,4275,3276,7112
1017,1017,4265,16276,29823
1018,1018,4256,13292,16213
1019,1019,4256,16276,34492
1020,1020,4256,19511,41754
1021,1021,4256,19073,31087
1022,1022,4227,12113,31408
1023,1023,4227,10872,22523
1024,1024,4227,21921,55978
1025,1025,4218,12353,26673
1026,1026,4208,20805,50243
1027,1027,4208,18520,38680
1028,1028,4198,23006,48074
1029,1029,4198,17487,30267
1030,1030,4189,16913,28116
1031,1031,4189,19490,35709
1032,1032,4179,21879,41905
1033,1033,4179,12072,39745
1034,1034,4151,12739,25296
1035,1035,4151,16548,27588
1036,1036,4141,12301,27607
1037,1037,4131,16151,32624
1038,1038,4131,22975,58515
1039,1039,4131,17226,27211
1040,1040,4122,20304,26626
1041,1041,4112,10914,25843
1042,1042,4112,11759,18958
1043,1043,4103,11936,20618
1044,1044,4103,15452,37454
1045,1045,4103,12197,24409
1046,1046,4103,12364,23721
1047,1047,4093,11435,16072
1048,1048,4093,14920,24287
1049,1049,4093,12739,30314
1050,1050,4084,16840,34181
1051,1051,4084,16579,30917
1052,1052,4084,15515,44131
1053,1053,4074,12009,14676
1054,1054,4065,20043,18656
1055,1055,4055,12708,27324
1056,1056,4055,11717,24060
